10	0.1	0.1	0.01	0.001998	1.998
10	0.1	1	0.01	0.019802	1.9802
10	0.1	10	0.01	0.181818	1.81818
10	0.1	100	0.01	1	1

100	0.1	0.01	0.01	1.99998e-05	1.99998
100	0.1	0.1	0.01	0.00019998	1.9998
100	0.1	1	0.01	0.001998	1.998
100	0.1	10	0.01	0.019802	1.9802
100	0.1	100	0.01	0.181818	1.81818


0.01	0.1	0.01	0.1	1	1
0.01	0.1	0.1	0.1	1.81818	0.181818
0.01	0.1	1	0.1	1.9802	0.019802
0.01	0.1	10	0.1	1.998	0.001998
0.01	0.1	100	0.1	1.9998	0.00019998

0.1	0.1	0.01	0.1	0.181818	1.81818
0.1	0.1	0.1	0.1	1	1
0.1	0.1	1	0.1	1.81818	0.181818
0.1	0.1	10	0.1	1.9802	0.019802
0.1	0.1	100	0.1	1.998	0.001998

1	0.1	0.01	0.1	0.019802	1.9802
1	0.1	0.1	0.1	0.181818	1.81818
1	0.1	1	0.1	1	1
1	0.1	10	0.1	1.81818	0.181818
1	0.1	100	0.1	1.9802	0.019802

10	0.1	0.01	0.1	0.001998	1.998
10	0.1	0.1	0.1	0.019802	1.9802
10	0.1	1	0.1	0.181818	1.81818
10	0.1	10	0.1	1	1
10	0.1	100	0.1	1.81818	0.181818

100	0.1	0.01	0.1	0.00019998	1.9998
100	0.1	0.1	0.1	0.001998	1.998
100	0.1	1	0.1	0.019802	1.9802
100	0.1	10	0.1	0.181818	1.81818
100	0.1	100	0.1	1	1


0.01	0.1	0.01	1	1.81818	0.181818
0.01	0.1	0.1	1	1.9802	0.019802
0.01	0.1	1	1	1.998	0.001998
0.01	0.1	10	1	1.9998	0.00019998
0.01	0.1	100	1	1.99998	1.99998e-05

0.1	0.1	0.01	1	1	1
0.1	0.1	0.1	1	1.81818	0.181818
0.1	0.1	1	1	1.9802	0.019802
0.1	0.1	10	1	1.998	0.001998
0.1	0.1	100	1	1.9998	0.00019998

1	0.1	0.01	1	0.181818	1.81818
1	0.1	0.1	1	1	1
1	0.1	1	1	1.81818	0.181818
1	0.1	10	1	1.9802	0.019802
1	0.1	100	1	1.998	0.001998

10	0.1	0.01	1	0.019802	1.9802
10	0.1	0.1	1	0.181818	1.81818
10	0.1	1	1	1	1
10	0.1	10	1	1.81818	0.181818
10	0.1	100	1	1.9802	0.019802

100	0.1	0.01	1	0.001998	1.998
100	0.1	0.1	1	0.019802	1.9802
100	0.1	1	1	0.181818	1.81818
100	0.1	10	1	1	1
100	0.1	100	1	1.81818	0.181818


0.01	0.1	0.01	10	1.9802	0.019802
0.01	0.1	0.1	10	1.998	0.001998
0.01	0.1	1	10	1.9998	0.00019998
0.01	0.1	10	10	1.99998	1.99998e-05
0.01	0.1	100	10	2	2e-06

0.1	0.1	0.01	10	1.81818	0.181818
0.1	0.1	0.1	10	1.9802	0.019802
0.1	0.1	1	10	1.998	0.001998
0.1	0.1	10	10	1.9998	0.00019998
0.1	0.1	100	10	1.99998	1.99998e-05

1	0.1	0.01	10	1	1
1	0.1	0.1	10	1.81818	0.181818
1	0.1	1	10	1.9802	0.019802
1	0.1	10	10	1.998	0.001998
1	0.1	100	10	1.9998	0.00019998

10	0.1	0.01	10	0.181818	1.81818
10	0.1	0.1	10	1	1
10	0.1	1	10	1.81818	0.181818
10	0.1	10	10	1.9802	0.019802
10	0.1	100	10	1.998	0.001998

100	0.1	0.01	10	0.019802	1.9802
100	0.1	0.1	10	0.181818	1.81818
100	0.1	1	10	1	1
100	0.1	10	10	1.81818	0.181818
100	0.1	100	10	1.9802	0.019802


0.01	0.1	0.01	100	1.998	0.001998
0.01	0.1	0.1	100	1.9998	0.00019998
0.01	0.1	1	100	1.99998	1.99998e-05
0.01	0.1	10	100	2	2e-06
0.01	0.1	100	100	2	2e-07

0.1	0.1	0.01	100	1.9802	0.019802
0.1	0.1	0.1	100	1.998	0.001998
0.1	0.1	1	100	1.9998	0.00019998
0.1	0.1	10	100	1.99998	1.99998e-05
0.1	0.1	100	100	2	2e-06

1	0.1	0.01	100	1.81818	0.181818
1	0.1	0.1	100	1.9802	0.019802
1	0.1	1	100	1.998	0.001998
1	0.1	10	100	1.9998	0.00019998
1	0.1	100	100	1.99998	1.99998e-05

10	0.1	0.01	100	1	1
10	0.1	0.1	100	1.81818	0.181818
10	0.1	1	100	1.9802	0.019802
10	0.1	10	100	1.998	0.001998
10	0.1	100	100	1.9998	0.00019998

100	0.1	0.01	100	0.181818	1.81818
100	0.1	0.1	100	1	1
100	0.1	1	100	1.81818	0.181818
100	0.1	10	100	1.9802	0.019802
100	0.1	100	100	1.998	0.001998



0.01	1	0.01	0.01	0.019802	1.9802
0.01	1	0.1	0.01	0.181818	1.81818
0.01	1	1	0.01	1	1
0.01	1	10	0.01	1.81818	0.181818
0.01	1	100	0.01	1.9802	0.019802

0.1	1	0.01	0.01	0.001998	1.998
0.1	1	0.1	0.01	0.019802	1.9802
0.1	1	1	0.01	0.181818	1.81818
0.1	1	10	0.01	1	1
0.1	1	100	0.01	1.81818	0.181818

1	1	0.01	0.01	0.00019998	1.9998
1	1	0.1	0.01	0.001998	1.998
1	1	1	0.01	0.019802	1.9802
1	1	10	0.01	0.181818	1.81818
1	1	100	0.01	1	1

10	1	0.01	0.01	1.99998e-05	1.99998
10	1	0.1	0.01	0.00019998	1.9998
10	1	1	0.01	0.001998	1.998
10	1	10	0.01	0.019802	1.9802
10	1	100	0.01	0.181818	1.81818

100	1	0.01	0.01	2e-06	2
100	1	0.1	0.01	1.99998e-05	1.99998
100	1	1	0.01	0.00019998	1.9998
100	1	10	0.01	0.001998	1.998
100	1	100	0.01	0.019802	1.9802


0.01	1	0.01	0.1	0.181818	1.81818
0.01	1	0.1	0.1	1	1
0.01	1	1	0.1	1.81818	0.181818
0.01	1	10	0.1	1.9802	0.019802
0.01	1	100	0.1	1.998	0.001998

0.1	1	0.01	0.1	0.019802	1.9802
0.1	1	0.1	0.1	0.181818	1.81818
0.1	1	1	0.1	1	1
0.1	1	10	0.1	1.81818	0.181818
0.1	1	100	0.1	1.9802	0.019802

1	1	0.01	0.1	0.001998	1.998
1	1	0.1	0.1	0.019802	1.9802
1	1	1	0.1	0.181818	1.81818
1	1	10	0.1	1	1
1	1	100	0.1	1.81818	0.181818

10	1	0.01	0.1	0.00019998	1.9998
10	1	0.1	0.1	0.001998	1.998
10	1	1	0.1	0.019802	1.9802
10	1	10	0.1	0.181818	1.81818
10	1	100	0.1	1	1

100	1	0.01	0.1	1.99998e-05	1.99998
100	1	0.1	0.1	0.00019998	1.9998
100	1	1	0.1	0.001998	1.998
100	1	10	0.1	0.019802	1.9802
100	1	100	0.1	0.181818	1.81818


0.01	1	0.01	1	1	1
0.01	1	0.1	1	1.81818	0.181818
0.01	1	1	1	1.9802	0.019802
0.01	1	10	1	1.998	0.001998
0.01	1	100	1	1.9998	0.00019998

0.1	1	0.01	1	0.181818	1.81818
0.1	1	0.1	1	1	1
0.1	1	1	1	1.81818	0.181818
0.1	1	10	1	1.9802	0.019802
0.1	1	100	1	1.998	0.001998

1	1	0.01	1	0.019802	1.9802
1	1	0.1	1	0.181818	1.81818
1	1	1	1	1	1
1	1	10	1	1.81818	0.181818
1	1	100	1	1.9802	0.019802

10	1	0.01	1	0.001998	1.998
10	1	0.1	1	0.019802	1.9802
10	1	1	1	0.181818	1.81818
10	1	10	1	1	1
10	1	100	1	1.81818	0.181818

100	1	0.01	1	0.00019998	1.9998
100	1	0.1	1	0.001998	1.998
100	1	1	1	0.019802	1.9802
100	1	10	1	0.181818	1.81818
100	1	100	1	1	1


0.01	1	0.01	10	1.81818	0.181818
0.01	1	0.1	10	1.9802	0.019802
0.01	1	1	10	1.998	0.001998
0.01	1	10	10	1.9998	0.00019998
0.01	1	100	10	1.99998	1.99998e-05

0.1	1	0.01	10	1	1
0.1	1	0.1	10	1.81818	0.181818
0.1	1	1	10	1.9802	0.019802
0.1	1	10	10	1.998	0.001998
0.1	1	100	10	1.9998	0.00019998

1	1	0.01	10	0.181818	1.81818
1	1	0.1	10	1	1
1	1	1	10	1.81818	0.181818
1	1	10	10	1.9802	0.019802
1	1	100	10	1.998	0.001998

10	1	0.01	10	0.019802	1.9802
10	1	0.1	10	0.181818	1.81818
10	1	1	10	1	1
10	1	10	10	1.81818	0.181818
10	1	100	10	1.9802	0.019802

100	1	0.01	10	0.001998	1.998
100	1	0.1	10	0.019802	1.9802
100	1	1	10	0.181818	1.81818
100	1	10	10	1	1
100	1	100	10	1.81818	0.181818


0.01	1	0.01	100	1.9802	0.019802
0.01	1	0.1	100	1.998	0.001998
0.01	1	1	100	1.9998	0.00019998
0.01	1	10	100	1.99998	1.99998e-05
0.01	1	100	100	2	2e-06

0.1	1	0.01	100	1.81818	0.181818
0.1	1	0.1	100	1.9802	0.019802
0.1	1	1	100	1.998	0.001998
0.1	1	10	100	1.9998	0.00019998
0.1	1	100	100	1.99998	1.99998e-05

1	1	0.01	100	1	1
1	1	0.1	100	1.81818	0.181818
1	1	1	100	1.9802	0.019802
1	1	10	100	1.998	0.001998
1	1	100	100	1.9998	0.00019998

10	1	0.01	100	0.181818	1.81818
10	1	0.1	100	1	1
10	1	1	100	1.81818	0.181818
10	1	10	100	1.9802	0.019802
10	1	100	100	1.998	0.001998

100	1	0.01	100	0.019802	1.9802
100	1	0.1	100	0.181818	1.81818
100	1	1	100	1	1
100	1	10	100	1.81818	0.181818
100	1	100	100	1.9802	0.019802



0.01	10	0.01	0.01	0.001998	1.998
0.01	10	0.1	0.01	0.019802	1.9802
0.01	10	1	0.01	0.181818	1.81818
0.01	10	10	0.01	1	1
0.01	10	100	0.01	1.81818	0.181818

0.1	10	0.01	0.01	0.00019998	1.9998
0.1	10	0.1	0.01	0.001998	1.998
0.1	10	1	0.01	0.019802	1.9802
0.1	10	10	0.01	0.181818	1.81818
0.1	10	100	0.01	1	1

1	10	0.01	0.01	1.99998e-05	1.99998
1	10	0.1	0.01	0.00019998	1.9998
1	10	1	0.01	0.001998	1.998
1	10	10	0.01	0.019802	1.9802
1	10	100	0.01	0.181818	1.81818

10	10	0.01	0.01	2e-06	2
10	10	0.1	0.01	1.99998e-05	1.99998
10	10	1	0.01	0.00019998	1.9998
10	10	10	0.01	0.001998	1.998
10	10	100	0.01	0.019802	1.9802

100	10	0.01	0.01	2e-07	2
100	10	0.1	0.01	2e-06	2
100	10	1	0.01	1.99998e-05	1.99998
100	10	10	0.01	0.00019998	1.9998
100	10	100	0.01	0.001998	1.998


0.01	10	0.01	0.1	0.019802	1.9802
0.01	10	0.1	0.1	0.181818	1.81818
0.01	10	1	0.1	1	1
0.01	10	10	0.1	1.81818	0.181818
0.01	10	100	0.1	1.9802	0.019802

0.1	10	0.01	0.1	0.001998	1.998
0.1	10	0.1	0.1	0.019802	1.9802
0.1	10	1	0.1	0.181818	1.81818
0.1	10	10	0.1	1	1
0.1	10	100	0.1	1.81818	0.181818

1	10	0.01	0.1	0.00019998	1.9998
1	10	0.1	0.1	0.001998	1.998
1	10	1	0.1	0.019802	1.9802
1	10	10	0.1	0.181818	1.81818
1	10	100	0.1	1	1

10	10	0.01	0.1	1.99998e-05	1.99998
10	10	0.1	0.1	0.00019998	1.9998
10	10	1	0.1	0.001998	1.998
10	10	10	0.1	0.019802	1.9802
10	10	100	0.1	0.181818	1.81818

100	10	0.01	0.1	2e-06	2
100	10	0.1	0.1	1.99998e-05	1.99998
100	10	1	0.1	0.00019998	1.9998
100	10	10	0.1	0.001998	1.998
100	10	100	0.1	0.019802	1.9802


0.01	10	0.01	1	0.181818	1.81818
0.01	10	0.1	1	1	1
0.01	10	1	1	1.81818	0.181818
0.01	10	10	1	1.9802	0.019802
0.01	10	100	1	1.998	0.001998

0.1	10	0.01	1	0.019802	1.9802
0.1	10	0.1	1	0.181818	1.81818
0.1	10	1	1	1	1
0.1	10	10	1	1.81818	0.181818
0.1	10	100	1	1.9802	0.019802

1	10	0.01	1	0.001998	1.998
1	10	0.1	1	0.019802	1.9802
1	10	1	1	0.181818	1.81818
1	10	10	1	1	1
1	10	100	1	1.81818	0.181818

10	10	0.01	1	0.00019998	1.9998
10	10	0.1	1	0.001998	1.998
10	10	1	1	0.019802	1.9802
10	10	10	1	0.181818	1.81818
10	10	100	1	1	1

100	10	0.01	1	1.99998e-05	1.99998
100	10	0.1	1	0.00019998	1.9998
100	10	1	1	0.001998	1.998
100	10	10	1	0.019802	1.9802
100	10	100	1	0.181818	1.81818


0.01	10	0.01	10	1	1
0.01	10	0.1	10	1.81818	0.181818
0.01	10	1	10	1.9802	0.019802
0.01	10	10	10	1.998	0.001998
0.01	10	100	10	1.9998	0.00019998

0.1	10	0.01	10	0.181818	1.81818
0.1	10	0.1	10	1	1
0.1	10	1	10	1.81818	0.181818
0.1	10	10	10	1.9802	0.019802
0.1	10	100	10	1.998	0.001998

1	10	0.01	10	0.019802	1.9802
1	10	0.1	10	0.181818	1.81818
1	10	1	10	1	1
1	10	10	10	1.81818	0.181818
1	10	100	10	1.9802	0.019802

10	10	0.01	10	0.001998	1.998
10	10	0.1	10	0.019802	1.9802
10	10	1	10	0.181818	1.81818
10	10	10	10	1	1
10	10	100	10	1.81818	0.181818

100	10	0.01	10	0.00019998	1.9998
100	10	0.1	10	0.001998	1.998
100	10	1	10	0.019802	1.9802
100	10	10	10	0.181818	1.81818
100	10	100	10	1	1


0.01	10	0.01	100	1.81818	0.181818
0.01	10	0.1	100	1.9802	0.019802
0.01	10	1	100	1.998	0.001998
0.01	10	10	100	1.9998	0.00019998
0.01	10	100	100	1.99998	1.99998e-05

0.1	10	0.01	100	1	1
0.1	10	0.1	100	1.81818	0.181818
0.1	10	1	100	1.9802	0.019802
0.1	10	10	100	1.998	0.001998
0.1	10	100	100	1.9998	0.00019998

1	10	0.01	100	0.181818	1.81818
1	10	0.1	100	1	1
1	10	1	100	1.81818	0.181818
1	10	10	100	1.9802	0.019802
1	10	100	100	1.998	0.001998

10	10	0.01	100	0.019802	1.9802
10	10	0.1	100	0.181818	1.81818
10	10	1	100	1	1
10	10	10	100	1.81818	0.181818
10	10	100	100	1.9802	0.019802

100	10	0.01	100	0.001998	1.998
100	10	0.1	100	0.019802	1.9802
100	10	1	100	0.181818	1.81818
100	10	10	100	1	1
100	10	100	100	1.81818	0.181818



0.01	100	0.01	0.01	0.00019998	1.9998
0.01	100	0.1	0.01	0.001998	1.998
0.01	100	1	0.01	0.019802	1.9802
0.01	100	10	0.01	0.181818	1.81818
0.01	100	100	0.01	1	1

0.1	100	0.01	0.01	1.99998e-05	1.99998
0.1	100	0.1	0.01	0.00019998	1.9998
0.1	100	1	0.01	0.001998	1.998
0.1	100	10	0.01	0.019802	1.9802
0.1	100	100	0.01	0.181818	1.81818

1	100	0.01	0.01	2e-06	2
1	100	0.1	0.01	1.99998e-05	1.99998
1	100	1	0.01	0.00019998	1.9998
1	100	10	0.01	0.001998	1.998
1	100	100	0.01	0.019802	1.9802

10	100	0.01	0.01	2e-07	2
10	100	0.1	0.01	2e-06	2
10	100	1	0.01	1.99998e-05	1.99998
10	100	10	0.01	0.00019998	1.9998
10	100	100	0.01	0.001998	1.998

100	100	0.01	0.01	2e-08	2
100	100	0.1	0.01	2e-07	2
100	100	1	0.01	2e-06	2
100	100	10	0.01	1.99998e-05	1.99998
100	100	100	0.01	0.00019998	1.9998


0.01	100	0.01	0.1	0.001998	1.998
0.01	100	0.1	0.1	0.019802	1.9802
0.01	100	1	0.1	0.181818	1.81818
0.01	100	10	0.1	1	1
0.01	100	100	0.1	1.81818	0.181818

0.1	100	0.01	0.1	0.00019998	1.9998
0.1	100	0.1	0.1	0.001998	1.998
0.1	100	1	0.1	0.019802	1.9802
0.1	100	10	0.1	0.181818	1.81818
0.1	100	100	0.1	1	1

1	100	0.01	0.1	1.99998e-05	1.99998
1	100	0.1	0.1	0.00019998	1.9998
1	100	1	0.1	0.001998	1.998
1	100	10	0.1	0.019802	1.9802
1	100	100	0.1	0.181818	1.81818

10	100	0.01	0.1	2e-06	2
10	100	0.1	0.1	1.99998e-05	1.99998
10	100	1	0.1	0.00019998	1.9998
10	100	10	0.1	0.001998	1.998
10	100	100	0.1	0.019802	1.9802

100	100	0.01	0.1	2e-07	2
100	100	0.1	0.1	2e-06	2
100	100	1	0.1	1.99998e-05	1.99998
100	100	10	0.1	0.00019998	1.9998
100	100	100	0.1	0.001998	1.998


0.01	100	0.01	1	0.019802	1.9802
0.01	100	0.1	1	0.181818	1.81818
0.01	100	1	1	1	1
0.01	100	10	1	1.81818	0.181818
0.01	100	100	1	1.9802	0.019802

0.1	100	0.01	1	0.001998	1.998
0.1	100	0.1	1	0.019802	1.9802
0.1	100	1	1	0.181818	1.81818
0.1	100	10	1	1	1
0.1	100	100	1	1.81818	0.181818

1	100	0.01	1	0.00019998	1.9998
1	100	0.1	1	0.001998	1.998
1	100	1	1	0.019802	1.9802
1	100	10	1	0.181818	1.81818
1	100	100	1	1	1

10	100	0.01	1	1.99998e-05	1.99998
10	100	0.1	1	0.00019998	1.9998
10	100	1	1	0.001998	1.998
10	100	10	1	0.019802	1.9802
10	100	100	1	0.181818	1.81818

100	100	0.01	1	2e-06	2
100	100	0.1	1	1.99998e-05	1.99998
100	100	1	1	0.00019998	1.9998
100	100	10	1	0.001998	1.998
100	100	100	1	0.019802	1.9802


0.01	100	0.01	10	0.181818	1.81818
0.01	100	0.1	10	1	1
0.01	100	1	10	1.81818	0.181818
0.01	100	10	10	1.9802	0.019802
0.01	100	100	10	1.998	0.001998

0.1	100	0.01	10	0.019802	1.9802
0.1	100	0.1	10	0.181818	1.81818
0.1	100	1	10	1	1
0.1	100	10	10	1.81818	0.181818
0.1	100	100	10	1.9802	0.019802

1	100	0.01	10	0.001998	1.998
1	100	0.1	10	0.019802	1.9802
1	100	1	10	0.181818	1.81818
1	100	10	10	1	1
1	100	100	10	1.81818	0.181818

10	100	0.01	10	0.00019998	1.9998
10	100	0.1	10	0.001998	1.998
10	100	1	10	0.019802	1.9802
10	100	10	10	0.181818	1.81818
10	100	100	10	1	1

100	100	0.01	10	1.99998e-05	1.99998
100	100	0.1	10	0.00019998	1.9998
100	100	1	10	0.001998	1.998
100	100	10	10	0.019802	1.9802
100	100	100	10	0.181818	1.81818


0.01	100	0.01	100	1	1
0.01	100	0.1	100	1.81818	0.181818
0.01	100	1	100	1.9802	0.019802
0.01	100	10	100	1.998	0.001998
0.01	100	100	100	1.9998	0.00019998

0.1	100	0.01	100	0.181818	1.81818
0.1	100	0.1	100	1	1
0.1	100	1	100	1.81818	0.181818
0.1	100	10	100	1.9802	0.019802
0.1	100	100	100	1.998	0.001998

1	100	0.01	100	0.019802	1.9802
1	100	0.1	100	0.181818	1.81818
1	100	1	100	1	1
1	100	10	100	1.81818	0.181818
1	100	100	100	1.9802	0.019802

10	100	0.01	100	0.001998	1.998
10	100	0.1	100	0.019802	1.9802
10	100	1	100	0.181818	1.81818
10	100	10	100	1	1
10	100	100	100	1.81818	0.181818

100	100	0.01	100	0.00019998	1.9998
100	100	0.1	100	0.001998	1.998
100	100	1	100	0.019802	1.9802
100	100	10	100	0.181818	1.81818
100	100	100	100	1	1



